78720.0198019802,77263,79630
77200.80198019803,76039,78847
78493.32673267326,77002,79855
76316.39603960396,75409,77110
78535.02970297029,78019,79198
77997.97029702971,76111,79657
75470.66336633664,74248,76867
75685.0594059406,74257,76597
79979.66336633664,78829,81106
76279.23762376238,75121,77461
74832.0198019802,73249,76498
76155.37623762376,74896,77281
77356.38613861386,76471,78217
77819.30693069307,75976,80314
74919.52475247525,74041,75940
75842.51485148515,75004,76948
75419.33663366336,74473,76588
75349.74257425743,74635,76417
76966.08910891089,75895,78577
74396.81188118811,73096,75580
76440.70297029703,75418,77596
75608.33663366336,74221,76588
75584.45544554456,73933,77083
76438.83168316832,75490,77299
75507.10891089108,74311,76570
75832.44554455446,74761,76930
76705.26732673268,75337,77920
75992.48514851485,75004,77047
73931.39603960396,72313,75148
76459.59405940594,75643,78127
72901.47524752475,71719,73690
76224.79207920792,75220,77389
76465.02970297029,75724,77425
73256.39603960396,72529,74572
75978.58415841585,73690,77227
75804.28712871287,74986,76750
74772.0495049505,73177,75562
75866.0396039604,74716,76876
76002.28712871287,73852,77119
75789.85148514851,74122,76714
75151.56435643564,74203,76228
76345.35643564357,75796,77299
76233.97029702971,75364,77173
75587.0396039604,74338,76426
74068.17821782178,72511,76363
77410.20792079208,76075,78397
75984.64356435643,74941,76759
77724.9405940594,76345,79729
75835.02970297029,74509,76903
74833.62376237624,74212,75535
74590.08910891089,73591,75904
78614.42574257425,76291,79792
74768.75247524753,73411,75859
74348.42574257425,73222,75517
76219.62376237624,75067,78433
76166.69306930693,75481,77488
75484.02970297029,74554,76435
73699.62376237624,72196,76453
76762.65346534654,75715,78478
75162.25742574257,72979,76723
75626.24752475247,74716,76633
75645.85148514851,73798,76633
77001.0198019802,75958,78343
76235.30693069307,74536,77767
75728.18811881189,74968,76525
78626.18811881189,77380,79630
75232.11881188118,74212,77416
74291.84158415842,73285,75607
75976.71287128713,74437,77272
74124.13861386139,72565,75310
76026.70297029703,75022,77308
75867.28712871287,74581,76741
75411.67326732674,73510,76579
76742.42574257425,75949,77479
74620.65346534654,73240,75499
74593.11881188118,73330,76192
76486.68316831683,74878,77614
76015.83168316832,75283,76957
76617.31683168317,75580,78352
76666.9504950495,74959,78082
76807.20792079208,74878,78136
75610.20792079208,74545,76732
74731.32673267326,72925,76444
77058.13861386139,76228,77983
76369.50495049504,73078,78181
74958.0198019802,73789,76300
76708.92079207921,75571,77884
76128.64356435643,75157,77083
75162.52475247525,74239,76669
75328.62376237624,73879,76120
75783.34653465346,74626,77182
72436.59405940594,71296,73555
76158.85148514851,74788,77281
74781.85148514851,73393,76147
76710.97029702971,75688,77245
74115.85148514851,73546,75175
76432.68316831683,75121,77956
76975.71287128713,75607,78721
74455.35643564357,72655,76471
75294.76237623762,74428,76075
